FIELD	QMC	ST	DATE	TIME	var_field
52670579	8	80	30.05.2025	08:45:42	52670,579
52672497	7	80	30.05.2025	08:45:48	52672,497
52671707	8	80	30.05.2025	08:45:54	52671,707
52669627	7	80	30.05.2025	08:46:00	52669,627
52667335	8	80	30.05.2025	08:46:06	52667,335
52670512	8	80	30.05.2025	08:46:12	52670,512
52671547	8	80	30.05.2025	08:46:18	52671,547
52669722	7	80	30.05.2025	08:46:24	52669,722
52669262	7	80	30.05.2025	08:46:30	52669,262
52670908	7	80	30.05.2025	08:46:36	52670,908
52670698	8	80	30.05.2025	08:46:42	52670,698
52672846	8	80	30.05.2025	08:46:48	52672,846
52673323	7	80	30.05.2025	08:46:54	52673,323
52672577	7	80	30.05.2025	08:47:00	52672,577
52671532	7	80	30.05.2025	08:47:06	52671,532
52672332	8	80	30.05.2025	08:47:12	52672,332
52671998	8	80	30.05.2025	08:47:18	52671,998
52672399	8	80	30.05.2025	08:47:24	52672,399
52675325	7	80	30.05.2025	08:47:30	52675,325
52676615	7	80	30.05.2025	08:47:36	52676,615
52681066	8	80	30.05.2025	08:47:42	52681,066
52684471	8	80	30.05.2025	08:47:48	52684,471
52682071	7	80	30.05.2025	08:47:54	52682,071
52676428	8	80	30.05.2025	08:48:00	52676,428
52671590	7	80	30.05.2025	08:48:06	52671,59
52671932	8	80	30.05.2025	08:48:12	52671,932
52674575	7	80	30.05.2025	08:48:18	52674,575
52677051	7	80	30.05.2025	08:48:24	52677,051
52676911	7	80	30.05.2025	08:48:30	52676,911
52669396	7	80	30.05.2025	08:48:36	52669,396
52668371	8	80	30.05.2025	08:48:42	52668,371
52669679	8	80	30.05.2025	08:48:48	52669,679
52670849	7	80	30.05.2025	08:48:54	52670,849
52668927	8	80	30.05.2025	08:49:00	52668,927
52667987	8	80	30.05.2025	08:49:06	52667,987
52670045	8	80	30.05.2025	08:49:12	52670,045
52671611	7	80	30.05.2025	08:49:18	52671,611
52677383	8	80	30.05.2025	08:49:24	52677,383
52679221	7	80	30.05.2025	08:49:30	52679,221
52675617	7	80	30.05.2025	08:49:36	52675,617
52669820	7	80	30.05.2025	08:49:42	52669,82
52668928	8	80	30.05.2025	08:49:48	52668,928
52670120	7	80	30.05.2025	08:49:54	52670,12
52667326	7	80	30.05.2025	08:50:00	52667,326
52666258	8	80	30.05.2025	08:50:06	52666,258
52660936	8	80	30.05.2025	08:50:12	52660,936
52662616	8	80	30.05.2025	08:50:18	52662,616
52664757	7	80	30.05.2025	08:50:24	52664,757
52666808	8	80	30.05.2025	08:50:30	52666,808
52666842	7	80	30.05.2025	08:50:36	52666,842
52670840	8	80	30.05.2025	08:50:42	52670,84
52668051	8	80	30.05.2025	08:50:48	52668,051
52665357	7	80	30.05.2025	08:50:54	52665,357
52666915	8	80	30.05.2025	08:51:00	52666,915
52662840	8	80	30.05.2025	08:51:06	52662,84
52661827	8	80	30.05.2025	08:51:12	52661,827
52661037	7	80	30.05.2025	08:51:18	52661,037
52661175	8	80	30.05.2025	08:51:24	52661,175
52661112	7	80	30.05.2025	08:51:30	52661,112
52662927	8	80	30.05.2025	08:51:36	52662,927
52660505	7	80	30.05.2025	08:51:42	52660,505
52660786	7	80	30.05.2025	08:51:48	52660,786
52667751	7	80	30.05.2025	08:51:54	52667,751
52672317	7	80	30.05.2025	08:52:00	52672,317
52674382	8	80	30.05.2025	08:52:06	52674,382
52671555	7	80	30.05.2025	08:52:12	52671,555
52685017	8	80	30.05.2025	08:52:18	52685,017
52690480	7	80	30.05.2025	08:52:24	52690,48
52691443	8	80	30.05.2025	08:52:30	52691,443
52692579	8	80	30.05.2025	08:52:36	52692,579
52692522	8	80	30.05.2025	08:52:42	52692,522
52696699	7	80	30.05.2025	08:52:48	52696,699
52698478	8	80	30.05.2025	08:52:54	52698,478
52699187	8	80	30.05.2025	08:53:00	52699,187
52699165	8	80	30.05.2025	08:53:06	52699,165
52700391	8	80	30.05.2025	08:53:12	52700,391
52701303	7	80	30.05.2025	08:53:18	52701,303
52701721	8	80	30.05.2025	08:53:24	52701,721
52685023	7	80	30.05.2025	08:53:30	52685,023
52684560	8	80	30.05.2025	08:53:36	52684,56
