FIELD	QMC	ST	DATE	TIME	var_field
52667969	17	81	02.06.2025	09:00:00	52667,969
52667621	17	80	02.06.2025	09:00:03	52667,621
52667410	17	80	02.06.2025	09:00:06	52667,41
52670812	17	80	02.06.2025	09:00:09	52670,812
52671931	15	80	02.06.2025	09:00:12	52671,931
52671201	15	80	02.06.2025	09:00:15	52671,201
52670404	14	80	02.06.2025	09:00:18	52670,404
52670117	14	80	02.06.2025	09:00:21	52670,117
52670421	15	80	02.06.2025	09:00:24	52670,421
52670252	18	80	02.06.2025	09:00:27	52670,252
52649781	10	80	02.06.2025	09:00:30	52649,781
52651070	9	80	02.06.2025	09:00:33	52651,07
52659708	16	80	02.06.2025	09:00:36	52659,708
52662255	31	80	02.06.2025	09:00:39	52662,255
52655425	9	80	02.06.2025	09:00:42	52655,425
52657450	9	80	02.06.2025	09:00:45	52657,45
52655303	11	80	02.06.2025	09:00:48	52655,303
52653912	23	80	02.06.2025	09:00:51	52653,912
52648954	11	80	02.06.2025	09:00:54	52648,954
52650399	10	80	02.06.2025	09:00:57	52650,399
52653972	11	80	02.06.2025	09:01:00	52653,972
52655932	10	80	02.06.2025	09:01:03	52655,932
52656211	11	80	02.06.2025	09:01:06	52656,211
52656950	12	80	02.06.2025	09:01:09	52656,95
52657703	11	80	02.06.2025	09:01:12	52657,703
52656746	10	80	02.06.2025	09:01:15	52656,746
52659691	11	80	02.06.2025	09:01:18	52659,691
52660650	10	80	02.06.2025	09:01:21	52660,65
52665940	10	80	02.06.2025	09:01:24	52665,94
52666354	10	80	02.06.2025	09:01:27	52666,354
52660419	10	80	02.06.2025	09:01:30	52660,419
52653606	11	80	02.06.2025	09:01:33	52653,606
52654158	10	80	02.06.2025	09:01:36	52654,158
52659079	10	80	02.06.2025	09:01:39	52659,079
52658850	11	80	02.06.2025	09:01:42	52658,85
52659914	11	80	02.06.2025	09:01:45	52659,914
52660089	12	80	02.06.2025	09:01:48	52660,089
52660904	11	80	02.06.2025	09:01:51	52660,904
52661489	12	80	02.06.2025	09:01:54	52661,489
52660436	11	80	02.06.2025	09:01:57	52660,436
52661500	11	80	02.06.2025	09:02:00	52661,5
52660753	11	80	02.06.2025	09:02:03	52660,753
52662641	12	80	02.06.2025	09:02:06	52662,641
52661489	12	80	02.06.2025	09:02:09	52661,489
52661877	12	80	02.06.2025	09:02:12	52661,877
52661373	11	80	02.06.2025	09:02:15	52661,373
52661116	10	80	02.06.2025	09:02:18	52661,116
52659484	12	80	02.06.2025	09:02:21	52659,484
52655256	10	80	02.06.2025	09:02:24	52655,256
52664931	12	80	02.06.2025	09:02:27	52664,931
52664630	11	80	02.06.2025	09:02:30	52664,63
52635570	11	80	02.06.2025	09:02:33	52635,57
52651062	11	80	02.06.2025	09:02:36	52651,062
52676389	11	80	02.06.2025	09:02:39	52676,389
52666391	10	80	02.06.2025	09:02:42	52666,391
52657177	9	80	02.06.2025	09:02:45	52657,177
52656310	9	80	02.06.2025	09:02:48	52656,31
52658360	10	80	02.06.2025	09:02:51	52658,36
52657925	9	80	02.06.2025	09:02:54	52657,925
52654087	10	80	02.06.2025	09:02:57	52654,087
52653646	9	80	02.06.2025	09:03:00	52653,646
52651710	10	80	02.06.2025	09:03:03	52651,71
52651064	9	80	02.06.2025	09:03:06	52651,064
52652408	9	80	02.06.2025	09:03:09	52652,408
52651859	9	80	02.06.2025	09:03:12	52651,859
52651292	9	80	02.06.2025	09:03:15	52651,292
52653043	9	80	02.06.2025	09:03:18	52653,043
52653618	9	80	02.06.2025	09:03:21	52653,618
