FIELD	QMC	ST	DATE	TIME	var_field
52670221	8	81	02.06.2025	08:29:00	52670,221
52669838	7	80	02.06.2025	08:29:03	52669,838
52669874	7	80	02.06.2025	08:29:06	52669,874
52668083	7	80	02.06.2025	08:29:09	52668,083
52668672	7	80	02.06.2025	08:29:12	52668,672
52671044	7	80	02.06.2025	08:29:15	52671,044
52668982	7	80	02.06.2025	08:29:18	52668,982
52668354	7	80	02.06.2025	08:29:21	52668,354
52668717	7	80	02.06.2025	08:29:24	52668,717
52664935	7	80	02.06.2025	08:29:27	52664,935
52668277	7	80	02.06.2025	08:29:30	52668,277
52669471	7	80	02.06.2025	08:29:33	52669,471
52670274	8	80	02.06.2025	08:29:36	52670,274
52671217	7	80	02.06.2025	08:29:39	52671,217
52671417	7	80	02.06.2025	08:29:42	52671,417
52670979	8	80	02.06.2025	08:29:45	52670,979
52670630	7	80	02.06.2025	08:29:48	52670,63
52671482	7	80	02.06.2025	08:29:51	52671,482
52672007	8	80	02.06.2025	08:29:54	52672,007
52675022	7	80	02.06.2025	08:29:57	52675,022
52674395	7	80	02.06.2025	08:30:00	52674,395
52673569	7	80	02.06.2025	08:30:03	52673,569
52675442	8	80	02.06.2025	08:30:06	52675,442
52676518	7	80	02.06.2025	08:30:09	52676,518
52677992	7	80	02.06.2025	08:30:12	52677,992
52678102	7	80	02.06.2025	08:30:15	52678,102
52676053	7	80	02.06.2025	08:30:18	52676,053
52673786	7	80	02.06.2025	08:30:21	52673,786
52669624	7	80	02.06.2025	08:30:24	52669,624
52667022	7	80	02.06.2025	08:30:27	52667,022
52667930	7	80	02.06.2025	08:30:30	52667,93
52669070	7	80	02.06.2025	08:30:33	52669,07
52675960	8	80	02.06.2025	08:30:36	52675,96
52675764	7	80	02.06.2025	08:30:39	52675,764
52676079	7	80	02.06.2025	08:30:42	52676,079
52677639	7	80	02.06.2025	08:30:45	52677,639
52678872	7	80	02.06.2025	08:30:48	52678,872
52679182	8	80	02.06.2025	08:30:51	52679,182
52678523	7	80	02.06.2025	08:30:54	52678,523
52677821	7	80	02.06.2025	08:30:57	52677,821
52678339	7	80	02.06.2025	08:31:00	52678,339
52678712	7	80	02.06.2025	08:31:03	52678,712
52678398	7	80	02.06.2025	08:31:06	52678,398
52681372	7	80	02.06.2025	08:31:09	52681,372
52681330	7	80	02.06.2025	08:31:12	52681,33
52675275	8	80	02.06.2025	08:31:15	52675,275
52677245	7	80	02.06.2025	08:31:18	52677,245
52676517	7	80	02.06.2025	08:31:21	52676,517
52674121	7	80	02.06.2025	08:31:24	52674,121
52674527	7	80	02.06.2025	08:31:27	52674,527
52676380	7	80	02.06.2025	08:31:30	52676,38
52677584	7	80	02.06.2025	08:31:33	52677,584
52675947	7	80	02.06.2025	08:31:36	52675,947
52676003	7	80	02.06.2025	08:31:39	52676,003
52678183	7	80	02.06.2025	08:31:42	52678,183
