Line	pr	pk	X_end	Y_end	TIME	DATE	T_bottoom	T_top
0	0	16.193	364412.3163	6178518.756	09:42:28	30.05.2025	52637804	52622512
0	0	16.284	364412.3627	6178518.676	09:42:28	30.05.2025	52638598	52622638
0	0	16.376	364412.4091	6178518.597	09:42:28	30.05.2025	52639154	52622784
0	0	16.468	364412.4555	6178518.517	09:42:28	30.05.2025	52639812	52623204
0	0	16.56	364412.5014	6178518.439	09:42:28	30.05.2025	52640511	52623789
0	0	16.651	364412.5478	6178518.359	09:42:28	30.05.2025	52640726	52624255
0	0	16.743	364412.5942	6178518.28	09:42:28	30.05.2025	52640287	52624707
0	0	16.835	364412.6406	6178518.2	09:42:29	30.05.2025	52639683	52625025
0	0	16.927	364412.6865	6178518.122	09:42:29	30.05.2025	52639815	52625108
0	0	17.018	364411.7217	6178519.772	09:42:29	30.05.2025	52639957	52625334
0	0	17.11	364411.7681	6178519.693	09:42:29	30.05.2025	52640860	52625782
0	0	17.202	364411.8145	6178519.613	09:42:29	30.05.2025	52641834	52626210
0	0	17.294	364411.8604	6178519.535	09:42:29	30.05.2025	52643076	52626996
0	0	17.385	364411.9068	6178519.455	09:42:29	30.05.2025	52643864	52627587
0	0	17.477	364411.9532	6178519.376	09:42:29	30.05.2025	52643980	52628141
0	0	17.569	364411.9996	6178519.296	09:42:29	30.05.2025	52644233	52628345
0	0	17.661	364412.0455	6178519.218	09:42:29	30.05.2025	52643943	52628686
0	0	17.752	364412.0919	6178519.138	09:42:30	30.05.2025	52643390	52628827
0	0	17.844	364412.1383	6178519.059	09:42:30	30.05.2025	52643304	52629589
0	0	17.936	364412.1847	6178518.98	09:42:30	30.05.2025	52642983	52630362
0	0	18.028	364411.2193	6178520.631	09:42:30	30.05.2025	52642764	52630690
0	0	18.119	364411.2657	6178520.551	09:42:30	30.05.2025	52642514	52630656
0	0	18.211	364411.3121	6178520.472	09:42:30	30.05.2025	52642858	52630787
0	0	18.303	364411.358	6178520.393	09:42:30	30.05.2025	52642959	52631344
0	0	18.394	364411.4044	6178520.314	09:42:30	30.05.2025	52643649	52631938
0	0	18.486	364411.4508	6178520.234	09:42:30	30.05.2025	52643963	52632296
0	0	18.578	364411.4972	6178520.155	09:42:30	30.05.2025	52644411	52632703
0	0	18.67	364411.5431	6178520.076	09:42:31	30.05.2025	52644117	52633093
0	0	18.761	364411.5895	6178519.997	09:42:31	30.05.2025	52643541	52632981
0	0	18.853	364411.6359	6178519.918	09:42:31	30.05.2025	52643397	52633196
0	0	18.945	364411.6823	6178519.838	09:42:31	30.05.2025	52643349	52633450
0	0	19.037	364410.717	6178521.489	09:42:31	30.05.2025	52643287	52634003
0	0	19.128	364410.7634	6178521.41	09:42:31	30.05.2025	52643690	52634511
0	0	19.22	364410.8098	6178521.331	09:42:31	30.05.2025	52644022	52634941
0	0	19.312	364410.8562	6178521.251	09:42:31	30.05.2025	52644611	52635217
0	0	19.404	364410.9021	6178521.173	09:42:31	30.05.2025	52644629	52635139
0	0	19.495	364410.9485	6178521.093	09:42:31	30.05.2025	52644778	52635411
0	0	19.587	364410.9949	6178521.014	09:42:32	30.05.2025	52638905	52635623
0	0	19.679	364411.0413	6178520.934	09:42:32	30.05.2025	52639274.44	52635905.89
0	0	19.771	364411.0872	6178520.856	09:42:32	30.05.2025	52639643.89	52636188.78
0	0	19.862	364411.1336	6178520.776	09:42:32	30.05.2025	52640013.33	52636471.67
0	0	19.954	364411.1785	6178520.699	09:42:32	30.05.2025	52640382.78	52636754.56
0	0	20.043	364410.2147	6178522.348	09:42:32	30.05.2025	52640752.22	52637037.44
0	0	20.128	364410.258	6178522.274	09:42:32	30.05.2025	52641121.67	52637320.33
0	0	20.214	364410.3009	6178522.2	09:42:32	30.05.2025	52641491.11	52637603.22
0	0	20.299	364410.3443	6178522.126	09:42:32	30.05.2025	52641860.56	52637886.11
0	0	20.385	364410.3872	6178522.053	09:42:32	30.05.2025	52642230	52638169
0	0	20.47	364410.4305	6178521.978	09:42:33	30.05.2025	52642720	52638250
0	0	20.556	364410.4734	6178521.905	09:42:33	30.05.2025	52643399	52638760
0	0	20.641	364410.5163	6178521.832	09:42:33	30.05.2025	52644389	52639080
0	0	20.726	364410.5597	6178521.757	09:42:33	30.05.2025	52645876	52639043
0	0	20.812	364410.6025	6178521.684	09:42:33	30.05.2025	52647099	52639629
0	0	20.897	364410.6459	6178521.61	09:42:33	30.05.2025	52648564	52639761
0	0	20.983	364410.6888	6178521.536	09:42:33	30.05.2025	52649705	52640270
0	0	21.068	364409.7123	6178523.207	09:42:33	30.05.2025	52649962	52640640
0	0	21.154	364409.7552	6178523.133	09:42:33	30.05.2025	52648852	52641042
0	0	21.239	364409.7986	6178523.059	09:42:33	30.05.2025	52647670	52641576
0	0	21.325	364409.8415	6178522.986	09:42:34	30.05.2025	52647495	52641756
0	0	21.41	364409.8848	6178522.911	09:42:34	30.05.2025	52647483	52641783
0	0	21.496	364409.9277	6178522.838	09:42:34	30.05.2025	52647914	52642228
0	0	21.581	364409.9711	6178522.764	09:42:34	30.05.2025	52648878	52642746
