FIELD	QMC	ST	DATE	TIME	var_field
52633377	7	80	02.06.2025	08:46:06	52633,377
52634513	6	80	02.06.2025	08:46:09	52634,513
52631559	7	80	02.06.2025	08:46:12	52631,559
52628205	7	80	02.06.2025	08:46:15	52628,205
52627871	7	80	02.06.2025	08:46:18	52627,871
52626181	7	80	02.06.2025	08:46:21	52626,181
52623481	7	80	02.06.2025	08:46:24	52623,481
52622613	7	80	02.06.2025	08:46:27	52622,613
52621923	6	80	02.06.2025	08:46:30	52621,923
52620947	7	80	02.06.2025	08:46:33	52620,947
52621636	7	80	02.06.2025	08:46:36	52621,636
52621401	7	80	02.06.2025	08:46:39	52621,401
52623973	7	80	02.06.2025	08:46:42	52623,973
52625115	6	80	02.06.2025	08:46:45	52625,115
52625834	7	80	02.06.2025	08:46:48	52625,834
52625073	7	80	02.06.2025	08:46:51	52625,073
52623655	7	80	02.06.2025	08:46:54	52623,655
52622228	7	80	02.06.2025	08:46:57	52622,228
52621316	7	80	02.06.2025	08:47:00	52621,316
52622095	7	80	02.06.2025	08:47:03	52622,095
52625161	7	80	02.06.2025	08:47:06	52625,161
52628624	7	80	02.06.2025	08:47:09	52628,624
52632670	6	80	02.06.2025	08:47:12	52632,67
52637299	7	80	02.06.2025	08:47:15	52637,299
52634135	7	80	02.06.2025	08:47:18	52634,135
52633805	7	80	02.06.2025	08:47:21	52633,805
52635739	7	80	02.06.2025	08:47:24	52635,739
52636930	7	80	02.06.2025	08:47:27	52636,93
52636405	7	80	02.06.2025	08:47:30	52636,405
52638191	7	80	02.06.2025	08:47:33	52638,191
52638167	7	80	02.06.2025	08:47:36	52638,167
52635923	7	80	02.06.2025	08:47:39	52635,923
52631249	7	80	02.06.2025	08:47:42	52631,249
52633346	7	80	02.06.2025	08:47:45	52633,346
52632016	7	80	02.06.2025	08:47:48	52632,016
52633111	6	80	02.06.2025	08:47:51	52633,111
52632322	7	80	02.06.2025	08:47:54	52632,322
52631232	7	80	02.06.2025	08:47:57	52631,232
52629518	7	80	02.06.2025	08:48:00	52629,518
52629604	7	80	02.06.2025	08:48:03	52629,604
52630401	7	80	02.06.2025	08:48:06	52630,401
52629944	7	80	02.06.2025	08:48:09	52629,944
52626607	7	80	02.06.2025	08:48:12	52626,607
52624752	7	80	02.06.2025	08:48:15	52624,752
52625094	7	80	02.06.2025	08:48:18	52625,094
52625442	6	80	02.06.2025	08:48:21	52625,442
52626200	7	80	02.06.2025	08:48:24	52626,2
52625097	6	80	02.06.2025	08:48:27	52625,097
52626562	7	80	02.06.2025	08:48:30	52626,562
52628971	7	80	02.06.2025	08:48:33	52628,971
52630650	7	80	02.06.2025	08:48:36	52630,65
52631303	7	80	02.06.2025	08:48:39	52631,303
52630113	7	80	02.06.2025	08:48:42	52630,113
52627344	7	80	02.06.2025	08:48:45	52627,344
52625729	7	80	02.06.2025	08:48:48	52625,729
52623909	7	80	02.06.2025	08:48:51	52623,909
52622829	7	80	02.06.2025	08:48:54	52622,829
52622427	7	80	02.06.2025	08:48:57	52622,427
52620351	7	80	02.06.2025	08:49:00	52620,351
52622353	6	80	02.06.2025	08:49:03	52622,353
52625608	7	80	02.06.2025	08:49:06	52625,608
52627811	7	80	02.06.2025	08:49:09	52627,811
52627953	7	80	02.06.2025	08:49:12	52627,953
52628349	7	80	02.06.2025	08:49:15	52628,349
52632439	7	80	02.06.2025	08:49:18	52632,439
52632637	7	80	02.06.2025	08:49:21	52632,637
52630570	6	80	02.06.2025	08:49:24	52630,57
52629783	7	80	02.06.2025	08:49:27	52629,783
52629693	7	80	02.06.2025	08:49:30	52629,693
52629361	7	80	02.06.2025	08:49:33	52629,361
52629142	7	80	02.06.2025	08:49:36	52629,142
52629047	7	80	02.06.2025	08:49:39	52629,047
52630469	7	80	02.06.2025	08:49:42	52630,469
52632642	7	80	02.06.2025	08:49:45	52632,642
52633145	7	80	02.06.2025	08:49:48	52633,145
52633357	7	80	02.06.2025	08:49:51	52633,357
52632910	7	80	02.06.2025	08:49:54	52632,91
52632421	7	80	02.06.2025	08:49:57	52632,421
52630093	7	80	02.06.2025	08:50:00	52630,093
52626848	7	80	02.06.2025	08:50:03	52626,848
52624114	7	80	02.06.2025	08:50:06	52624,114
52623308	7	80	02.06.2025	08:50:09	52623,308
52624762	7	80	02.06.2025	08:50:12	52624,762
52626791	7	80	02.06.2025	08:50:15	52626,791
52628409	7	80	02.06.2025	08:50:18	52628,409
52630515	6	80	02.06.2025	08:50:21	52630,515
52620382	7	80	02.06.2025	08:50:24	52620,382
52613137	7	80	02.06.2025	08:50:27	52613,137
52613612	7	80	02.06.2025	08:50:30	52613,612
52610826	7	80	02.06.2025	08:50:33	52610,826
52610714	7	80	02.06.2025	08:50:36	52610,714
52612742	7	80	02.06.2025	08:50:39	52612,742
52614165	7	80	02.06.2025	08:50:42	52614,165
52616859	7	80	02.06.2025	08:50:45	52616,859
52619668	7	80	02.06.2025	08:50:48	52619,668
52621398	7	80	02.06.2025	08:50:51	52621,398
52620449	7	80	02.06.2025	08:50:54	52620,449
52620844	7	80	02.06.2025	08:50:57	52620,844
52621020	7	80	02.06.2025	08:51:00	52621,02
52620298	6	80	02.06.2025	08:51:03	52620,298
52622788	7	80	02.06.2025	08:51:06	52622,788
52623414	7	80	02.06.2025	08:51:09	52623,414
52623922	7	80	02.06.2025	08:51:12	52623,922
52625181	7	80	02.06.2025	08:51:15	52625,181
